task_key,env_id,bucket,risk_score,session_count,review_priority,constant_type,constant,prompt_mentions_constant,likely_source_app,occurrence_count,verifier_line_numbers,verifier_context,derivability_question,prompt_preview
task_arhs4vy2uhqn_n_1781548166948_bzt92iwev__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.5,2,high,name_or_label,"1600 Park St., New York, NY 10010",False,medora,1,161,"""resulting_fields"": [ (""address"", ""1600 Park St., New York, NY 10010""), ],","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I'm unfortunately going through a divorce. First, let's update my address in both Medora and Lifeline. This is my new address: 1600 Park St. New York, NY 10010 Then in Lifeline, add a new..."
task_atn3x2b7iuhk_n_1781715223493_844e9p7uz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.85,2,high,name_or_label,Primary Care,False,lifeline,1,374,"loc = event.get(""location"", """") or """" if normalized_contains(""Primary Care"", loc) and normalized_contains(""Room 103"", loc): success_accumulator.append(f""[C] Event location matches Lifeline booking: {loc}"")","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?",We are down to one epi-pen for Lena after an incident and ER trip yesterday so want to schedule an appointment for her to review and replace the used pen ASAP. Can you have a look on Medo...
task_bnmhggg54rve_n_1781633587162_n57pvk773__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,9.4,3,high,name_or_label,Transfer from Everyday Checking,False,harbor,1,725,"error_accumulator.append(f""[X] Dest txn status should be 'posted', got {dst_txn.get('status')}"") if normalized_contains(""Transfer from Everyday Checking"", dst_txn.get(""description"", """")): success_accumulator.append(""[...","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","I'm trying to reduce recurring business expenses before the end of the year and want to make sure any unnecessary subscriptions are documented and followed up on properly. In Ledger, revi..."
task_bnmhggg54rve_n_1781633587162_n57pvk773__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,9.4,3,high,name_or_label,Transfer to Emergency Savings,False,harbor,1,709,"error_accumulator.append(f""[X] Source txn status should be 'posted', got {src_txn.get('status')}"") if normalized_contains(""Transfer to Emergency Savings"", src_txn.get(""description"", """")): success_accumulator.append(""[...","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","I'm trying to reduce recurring business expenses before the end of the year and want to make sure any unnecessary subscriptions are documented and followed up on properly. In Ledger, revi..."
task_bou2neblkos_n_1781539316775_d6na24btm__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.75,3,high,name_or_label,Appointment with Dr. Mitchell,False,medora,1,704,"# Verify the event title if normalized_contains(""Appointment with Dr. Mitchell"", new_event.get(""title"", """")): success_accumulator.append(""[C] Event title contains 'Appointment with Dr. Mitchell'"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I need to reschedule my October Medora telehealth visit to an in-person visit. Locate the Latch Calendar reminder for that appointment and check which are the available days between that ...
task_bou2neblkos_n_1781539316775_d6na24btm__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.75,3,high,name_or_label,Dr. Mitchell,False,medora,1,691,"e for e in new_events if normalized_contains(""Dr. Mitchell"", e.get(""title"", """")) ]","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I need to reschedule my October Medora telehealth visit to an in-person visit. Locate the Latch Calendar reminder for that appointment and check which are the available days between that ...
task_bshwzmkvvma2_n_1781628770617_53s1xjj5t__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.75,2,high,name_or_label,Dr Patel,False,medora,1,615,"# Should mention Dr. Priya Patel if normalized_contains(""Priya Patel"", body) or normalized_contains(""Dr Patel"", body): success_accumulator.append(""[C] Email body mentions Dr. Priya Patel"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I just moved to Arizona for grad school and my schedule is already a mess before classes even start. I have four appointments coming up in Medora and I need to get organized before I lose...
task_bshwzmkvvma2_n_1781628770617_53s1xjj5t__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.75,2,high,name_or_label,Dr Wu,False,medora,1,609,"# Should mention Dr. James Wu if normalized_contains(""James Wu"", body) or normalized_contains(""Dr Wu"", body): success_accumulator.append(""[C] Email body mentions Dr. James Wu"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I just moved to Arizona for grad school and my schedule is already a mess before classes even start. I have four appointments coming up in Medora and I need to get organized before I lose...
task_bshwzmkvvma2_n_1781628770617_53s1xjj5t__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.75,2,high,name_or_label,Dr. Wu calendar events,False,medora,1,375,"else: success_accumulator.append(f""[C] Found {len(wu_events)} Dr. Wu calendar events"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I just moved to Arizona for grad school and my schedule is already a mess before classes even start. I have four appointments coming up in Medora and I need to get organized before I lose...
task_bshwzmkvvma2_n_1781628770617_53s1xjj5t__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.75,2,high,name_or_label,James Wu,False,medora,1,609,"# Should mention Dr. James Wu if normalized_contains(""James Wu"", body) or normalized_contains(""Dr Wu"", body): success_accumulator.append(""[C] Email body mentions Dr. James Wu"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I just moved to Arizona for grad school and my schedule is already a mess before classes even start. I have four appointments coming up in Medora and I need to get organized before I lose...
task_bshwzmkvvma2_n_1781628770617_53s1xjj5t__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.75,2,high,name_or_label,Priya Patel,False,medora,1,615,"# Should mention Dr. Priya Patel if normalized_contains(""Priya Patel"", body) or normalized_contains(""Dr Patel"", body): success_accumulator.append(""[C] Email body mentions Dr. Priya Patel"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I just moved to Arizona for grad school and my schedule is already a mess before classes even start. I have four appointments coming up in Medora and I need to get organized before I lose...
task_bw0f57vzmfsy_n_1781788820555_3fg1mnkjn__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.1,2,high,name_or_label,' is under Medical Appointments calendar,False,medora,1,250,"if med_cal_id and found.get(""calendarId"") == med_cal_id: success_accumulator.append(f""[C] Event '{exp['title']}' is under Medical Appointments calendar"") elif med_cal_id:","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","In Medora check my appointment with Dr. Priya Patel, MD and complete the healthcare questionnaire if it has not been completed yet. Use these answers for the questionnaire: - Reason for v..."
task_bxxbqn25n80_n_1781533729427_yexgr1ket__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.75,2,high,name_or_label,James Wu,False,medora,1,405,"if normalized_contains(""James Wu"", body): success_accumulator.append(""[C] Body mentions sender 'James Wu'"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I need to get ready for my October 17th asthma follow-up and need to make sure I have prepped for the appointment. I should have a message in Lifeline about prepping for this follow-up, s..."
task_bxxbqn25n80_n_1781533729427_yexgr1ket__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.75,2,high,name_or_label,LDL cholesterol,False,medora,1,116,"# The diff shows ""LDL cholesterol"" was the abnormal test if not normalized_contains(""LDL cholesterol"", msg_body): error_accumulator.append(""[X] Message body does not contain 'LDL cholesterol' (the flagged abnormal tes...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I need to get ready for my October 17th asthma follow-up and need to make sure I have prepped for the appointment. I should have a message in Lifeline about prepping for this follow-up, s..."
task_db4k9ojghfrn_n_1781648170276_sc43t7fl4__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.3,3,high,name_or_label,Maya Rivera,False,medora,1,97,"organizer_str = event.get(""organizer"", """") if normalized_contains(""Maya Rivera"", organizer_str): success_accumulator.append(""[C] Maya Rivera is the organizer (no separate attendee needed)"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I need to make an appointment through Lifeline for a neurologist; just use ""Worsening Migraines"" as the reason. I need it next week and prefer Tuesday since it's slower at work usually. I..."
task_dj33wrgum48n_n_1781220892682_hsb328m9l__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.6,3,high,name_or_label,Hi Milo Property Services,False,communications,1,609,"# Verify greeting if normalized_contains(""Hi Milo Property Services"", body): success_accumulator.append(""[C] Milo email greeting correct"")",Is this email/calendar/task value uniquely selected by the prompt search criteria?,"In Ledger, find the companies with overdue invoices, and send each company an email. The email's subject is ""Overdue invoices"". The body of the email contains the following: Hi [company n..."
task_dj33wrgum48n_n_1781220892682_hsb328m9l__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.6,3,high,name_or_label,Milo Property Services,False,communications,1,589,"body = email.get(""body_content"", """") if normalized_contains(""Milo Property Services"", body): milo_email = email",Is this email/calendar/task value uniquely selected by the prompt search criteria?,"In Ledger, find the companies with overdue invoices, and send each company an email. The email's subject is ""Overdue invoices"". The body of the email contains the following: Hi [company n..."
task_dlmkv6otfy07_n_1781138793510_cvrqys0hh__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.3,3,high,name_or_label,INV-009 late charge,False,ledger,1,624,"# ---- 6. Validate status - invoices should be sent or draft ---- for inv_label, inv_obj in [(""INV-119 late charge"", inv119_lc), (""INV-009 late charge"", inv009_lc)]: status = inv_obj.get(""status"")","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","My overdue invoices need to be cleaned up, so I'm adding late charges where applicable, following up with each client, and topping up my checking buffer. In Ledger, narrow to my overdue i..."
task_dlmkv6otfy07_n_1781138793510_cvrqys0hh__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.3,3,high,name_or_label,INV-119 late charge,False,ledger,1,624,"# ---- 6. Validate status - invoices should be sent or draft ---- for inv_label, inv_obj in [(""INV-119 late charge"", inv119_lc), (""INV-009 late charge"", inv009_lc)]: status = inv_obj.get(""status"")","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","My overdue invoices need to be cleaned up, so I'm adding late charges where applicable, following up with each client, and topping up my checking buffer. In Ledger, narrow to my overdue i..."
task_dtlhtplcsqwe_n_1781523605697_awcr66hki__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.15,3,high,name_or_label,30 Hudson Street,False,medora,1,485,"location = event.get(""location"", """") or """" expected_address_parts = [""30 Hudson Street"", ""Suite 810"", ""Jersey City"", ""NJ"", ""07302""] for part in expected_address_parts:","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","In Lifeline, request a 30 day supply of Albuterol HFA at ""CVS Pharmacy Store 1012"" with a message of ""Dr. Wu, I know we have a follow-up appointment scheduled on X, but I had an asthma at..."
task_dtlhtplcsqwe_n_1781523605697_awcr66hki__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.15,3,high,name_or_label,Jersey City,False,medora,1,485,"location = event.get(""location"", """") or """" expected_address_parts = [""30 Hudson Street"", ""Suite 810"", ""Jersey City"", ""NJ"", ""07302""] for part in expected_address_parts:","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","In Lifeline, request a 30 day supply of Albuterol HFA at ""CVS Pharmacy Store 1012"" with a message of ""Dr. Wu, I know we have a follow-up appointment scheduled on X, but I had an asthma at..."
task_e96yeizravj_n_1781512688072_fxeia1xnb__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.35,3,high,name_or_label,3833 Lewis St,False,medora,1,167,"location = event.get(""location"", """") or """" if normalized_contains(""3833 Lewis St"", location) and normalized_contains(""Phoenix"", location): success_accumulator.append(f""[C] Event location is correct: '{location}'"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I’m new to the area and need to find a new dentist. I’m based in Phoenix, AZ 85001, so something close by would be good. Ideally a dentist that is covered by my health care, but if there ..."
task_e96yeizravj_n_1781512688072_fxeia1xnb__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.35,3,high,name_or_label,Dr Donna Anderson,False,medora,1,159,"# Verify the dentist name is Dr. Donna Anderson (confirmed from the medora booking diff) if normalized_contains(""Dr Donna Anderson"", event.get(""title"", """")): success_accumulator.append(""[C] Event title contains dentis...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I’m new to the area and need to find a new dentist. I’m based in Phoenix, AZ 85001, so something close by would be good. Ideally a dentist that is covered by my health care, but if there ..."
task_enk3ytqj4hlt_n_1781566155437_k07r3ji3x__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.75,3,high,name_or_label,Andrew Carter,False,medora,1,95,"# Verify the doctor's name from medora cross-env context is Andrew Carter if normalized_contains(""Andrew Carter"", title): success_accumulator.append(""[C] Event title references Dr. Andrew Carter"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I'm looking for a new psychiatrist and I'm hoping you can give me a little help. I'm looking to find one that operates in New York and is in-network. If there isn't anyone that fits the b...
task_hdtrki2gbci_n_1781170401000_taf4g9jhp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,9.3,2,high,name_or_label,Cedar%Slate,False,ledger,1,771,"# Look up each customer by name cedar_customers = current.table(""customers"").ilike(""name"", ""%Cedar%Slate%"").all() quadrant_customers = current.table(""customers"").ilike(""name"", ""%Quadrant Compute%"").all()","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I need to send a new batch of invoices for some of my clients. In Ledger, please invoice the following companies: Cedar & Slate Studio, with a Net 15 for $124.58. Write ""Looking forward t..."
task_hjulepzttlev_n_1781203345953_drnywx3oo__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.5,2,high,name_or_label,' starts on 2025-10-14,False,harbor,1,821,"if ""2025-10-14"" in start_dt: success_accumulator.append(f""[C] Event '{title}' starts on 2025-10-14"") else:","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Hello, it's Maya. A couple of freelance payments landed this week and I want my receivables squared away: the one that matches an invoice booked, the tax on it set aside, the odd one flag..."
task_hjulepzttlev_n_1781203345953_drnywx3oo__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.5,2,high,name_or_label,Follow up INV-00009 Milo Property Services,False,harbor,1,767,"""Follow up INV-00119 Milo Property Services"", ""Follow up INV-00009 Milo Property Services"", ""Follow up INV-00044 Cedar & Slate Studio"",","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Hello, it's Maya. A couple of freelance payments landed this week and I want my receivables squared away: the one that matches an invoice booked, the tax on it set aside, the odd one flag..."
task_hjulepzttlev_n_1781203345953_drnywx3oo__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.5,2,high,name_or_label,Follow up INV-00044 Cedar & Slate Studio,False,harbor,1,768,"""Follow up INV-00009 Milo Property Services"", ""Follow up INV-00044 Cedar & Slate Studio"", }","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Hello, it's Maya. A couple of freelance payments landed this week and I want my receivables squared away: the one that matches an invoice booked, the tax on it set aside, the odd one flag..."
task_hjulepzttlev_n_1781203345953_drnywx3oo__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.5,2,high,name_or_label,Follow up INV-00119 Milo Property Services,False,harbor,1,766,"expected_event_titles = { ""Follow up INV-00119 Milo Property Services"", ""Follow up INV-00009 Milo Property Services"",","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","Hello, it's Maya. A couple of freelance payments landed this week and I want my receivables squared away: the one that matches an invoice booked, the tax on it set aside, the odd one flag..."
task_hrgjjlde8uy_n_1781535093787_taa6yl44q__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,8.05,2,high,name_or_label,Amys Doctors Appointment,False,medora,1,831,"m for m in sent_emails if normalized_contains(""Amys Doctors Appointment"", m.get(""subject"", """")) ]","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I need to take my daughter for an eye exam later in the week. She has been complaining of blurry vision and a sharp pain. Her name is Amy Rivera-Pierce. I do not have an insurance plan th...
task_hygif6yhtvgk_n_1781667770890_a8h5q9zws__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.7,3,high,name_or_label,Aetna - Aetna Open Access PPO,False,medora,1,261,"""resulting_fields"": [ (""plan_name"", ""Aetna - Aetna Open Access PPO""), (""member_id"", ""AET-RP-1042-01""),","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",You have an upcoming cardiac procedure on the 27th of October that you need to prepare for. Book an appointment for a pre-op evaluation via Medora with a Thoracic surgeon located in the s...
task_hygif6yhtvgk_n_1781667770890_a8h5q9zws__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.7,3,high,name_or_label,Aetna Open Access PPO,False,medora,1,44,"# Check plan_name was updated to Aetna - Aetna Open Access PPO (from Medora) if not normalized_contains(""Aetna Open Access PPO"", ins_plan.get(""plan_name"", """")): error_accumulator.append(f""[X] Insurance plan_name shoul...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",You have an upcoming cardiac procedure on the 27th of October that you need to prepare for. Book an appointment for a pre-op evaluation via Medora with a Thoracic surgeon located in the s...
task_hygif6yhtvgk_n_1781667770890_a8h5q9zws__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.7,3,high,name_or_label,Pre Op,False,medora,1,489,"vt_name = visit_type.get(""name"", """") if normalized_contains(""Pre-Op"", vt_name) or normalized_contains(""Pre Op"", vt_name): success_accumulator.append(f""[C] Visit type is Pre-Op Evaluation: '{vt_name}'"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",You have an upcoming cardiac procedure on the 27th of October that you need to prepare for. Book an appointment for a pre-op evaluation via Medora with a Thoracic surgeon located in the s...
task_i47anof7am8i_n_1781603529313_k4kzras7x__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.6,3,high,name_or_label,Everyday%Checking,False,harbor,1,422,"# Fall back to looking in accounts table everyday_accounts = current.table(""accounts"").ilike(""name"", ""%Everyday%Checking%"").all() if everyday_accounts:","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","I noticed that the vendor providing our office supplies has not yet been added to Ledger. To avoid any further confusion regarding company expenses, I would like Ledger to contain a compl..."
task_i47anof7am8i_n_1781603529313_k4kzras7x__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.6,3,high,name_or_label,Office Depot transactions in last 90 days on Gold Card,False,meridian,1,110,"success_accumulator.append( f""[C] Found {len(recent_office_depot_txns)} Office Depot transactions in last 90 days on Gold Card"" )","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","I noticed that the vendor providing our office supplies has not yet been added to Ledger. To avoid any further confusion regarding company expenses, I would like Ledger to contain a compl..."
task_i8uvfkcxovn6_n_1781656990891_frlfoi6ki__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.0,3,high,name_or_label,distinct AMXGC confirmation numbers:,False,communications,1,295,"if len(distinct_amxgc) >= 2: success_accumulator.append(f""[C] Gift Cards email contains {len(distinct_amxgc)} distinct AMXGC confirmation numbers: {distinct_amxgc}"") elif len(distinct_amxgc) == 1:",Is this email/calendar/task value uniquely selected by the prompt search criteria?,I have a few tasks I need to complete in Meridian and some related Latch tasks for my son's birthday: Please make my minimum payment plus $500 to my Meridian Gold Card using Harbor Checki...
task_iavuyfejvsow_n_1781706232708_drc3usp6j__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.2,3,high,name_or_label,James Wu,False,medora,1,207,"required_phrases = [ ""James Wu"", ""Fluticasone Nasal Spray"",","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?",I need my Fluticasone Nasal Spray and the Albuterol HFA refilled within the next few weeks. Please check in Lifeline in my medication overview if this prescription is eligible for refilli...
task_iavw728hy5vy_n_1781582216543_ihj9tgqxg__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.3,3,high,name_or_label,"Appointment with Dr. Benjamin Lopez, MD",False,medora,1,675,"# Verify title format: ""Appointment with Dr. Benjamin Lopez, MD"" expected_lopez_title = ""Appointment with Dr. Benjamin Lopez, MD"" if normalized_contains(expected_lopez_title, lopez_event.get(""title"", """")):","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I want my insurance plan I have on record on Medora for medical, dental, and vision services to be accurate. Please take a look at Lifeline for the current insurance type and member ID I ..."
task_ie3bwcwxjypb_n_1781712747940_spad4gcsz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.15,3,high,name_or_label,'s payment was via HSA,False,medora,1,632,"if payment.get(""payment_method"") == ""hsa"": success_accumulator.append(f""[C] {name}'s payment was via HSA"") else:","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","My son, Omar has a really bad rash on his arm. And I have this really bad rash on the back of my leg. We think that it may be poison ivy. I've tried calamine lotion and other potions, but..."
task_igsyzitzfj9j_n_1781541775018_1m7a3i694__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.1,4,high,name_or_label,EPO%Plus,False,medora,1,192,"empire_carrier_ids = {c[""id""] for c in empire_carriers} all_epo_plans = current.table(""insurance_plan"").ilike(""plan_name"", ""%EPO%Plus%"").all() matching_plans = [p for p in all_epo_plans if p.get(""carrier_id"") in empir...","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have to review some upcoming appointments and edit some details. In Medora, check if I have any dermatologist appointments in the coming months. If there are any slots available between..."
task_igsyzitzfj9j_n_1781541775018_1m7a3i694__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,7.1,4,high,name_or_label,Empire%Blue%Cross,False,medora,1,188,"if not empire_carriers: empire_carriers = current.table(""insurance_carrier"").ilike(""name"", ""%Empire%Blue%Cross%"").all()","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have to review some upcoming appointments and edit some details. In Medora, check if I have any dermatologist appointments in the coming months. If there are any slots available between..."
task_iiiqjpje3kov_n_1781637688731_shn86bnov__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.15,2,high,name_or_label,110 East 59th Street,False,medora,1,73,"location = event.get(""location"", """") or """" expected_address = ""110 East 59th Street"" if normalized_contains(expected_address, location):","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","Help me with an appointment I have in Lifeline for Nov 3; I want to complete the pre-visit check-in, so go ahead and complete what's missing. Recently I've been having a lot of sinus issu..."
task_imh4x0euefpz_n_1781685541540_34riemivo__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,C_repair_candidate,9.8,3,high,name_or_label,801 Medical Plaza,False,medora,1,494,"body = email.get(""body_content"", """") if normalized_contains(""801 Medical Plaza"", body): success_accumulator.append(""[C] Email body contains '801 Medical Plaza'"")","Is this provider, clinic, or appointment uniquely selected by the prompt constraints?","I have obtained a BCBS Basic HMO coverage, so set it as my medical insurance. You don't have to enter the membership ID. Using this coverage, search for a cardiologist who is available tw..."
task_ivlolspp7k4d_n_1781210597444_8gl44tjat__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.8,3,high,name_or_label,CANOPY ANALYTICS,False,ledger,1,487,"if canopy_customer and cid == canopy_customer[""id""]: if ""CANOPY ANALYTICS"" not in desc: error_accumulator.append(f""[X] Invoice {inv['id']} (${amt}) for Canopy Analytics: description should contain 'CANOPY ANALYTICS', ...","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I have two income streams, one from my business and one from my salary. My business invoicing is mostly recorded in Ledger; however, my employment income is not, and I’d like to include i..."
task_ivlolspp7k4d_n_1781210597444_8gl44tjat__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.8,3,high,name_or_label,PAYROLL RIVERA PIERCE HOUSEHOLD,False,ledger,1,497,"elif rivera_customer and cid == rivera_customer[""id""]: if ""PAYROLL RIVERA PIERCE HOUSEHOLD"" not in desc: error_accumulator.append(f""[X] Invoice {inv['id']} (${amt}) for Rivera: description should contain 'PAYROLL RIVE...","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I have two income streams, one from my business and one from my salary. My business invoicing is mostly recorded in Ledger; however, my employment income is not, and I’d like to include i..."
task_ivlolspp7k4d_n_1781210597444_8gl44tjat__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.8,3,high,name_or_label,PECAN STREET STUDIO,False,ledger,1,492,"elif pecan_customer and cid == pecan_customer[""id""]: if ""PECAN STREET STUDIO"" not in desc: error_accumulator.append(f""[X] Invoice {inv['id']} (${amt}) for Pecan Street Studio: description should contain 'PECAN STREET ...","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","I have two income streams, one from my business and one from my salary. My business invoicing is mostly recorded in Ledger; however, my employment income is not, and I’d like to include i..."
task_iwy9lt1nxkv_n_1781289078457_im7ppgu96__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.35,3,high,name_or_label,bill_date is 2025-10-14,False,ledger,1,128,"else: success_accumulator.append(f""[C] {bill_name} bill_date is 2025-10-14"")","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","Before I get distracted with everything else, can you help me tidy up a couple of vendor accounts and make sure I don't forget to review them again next month? In Ledger, review the vendo..."
task_iwy9lt1nxkv_n_1781289078457_im7ppgu96__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.35,3,high,name_or_label,due_date is 2025-11-13,False,ledger,1,134,"else: success_accumulator.append(f""[C] {bill_name} due_date is 2025-11-13"")","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","Before I get distracted with everything else, can you help me tidy up a couple of vendor accounts and make sure I don't forget to review them again next month? In Ledger, review the vendo..."
task_iwy9lt1nxkv_n_1781289078457_im7ppgu96__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,8.35,3,high,name_or_label,emails to support@ledger.example,False,ledger,1,662,"elif len(recipient_matches) > 1: error_accumulator.append(f""[X] Found {len(recipient_matches)} emails to support@ledger.example"") else:","Is this vendor, customer, invoice, or bill value uniquely selected by the prompt constraints?","Before I get distracted with everything else, can you help me tidy up a couple of vendor accounts and make sure I don't forget to review them again next month? In Ledger, review the vendo..."
task_jcpvfebazf3_n_1781634334363_58153xtvw__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,C_repair_candidate,7.75,2,high,name_or_label,bank name is Bank of Harbor,False,harbor,1,748,"assert ba[""bank_name""] == ""Bank of Harbor"", f""Bank name should be 'Bank of Harbor', got {ba['bank_name']}"" success_accumulator.append(f""[C] Bank account {ba['account_number']} bank name is Bank of Harbor"") except Asse...","Can this user-visible value be derived from prompt plus seed data, or is it an ungrounded verifier constant?","I just took this really amazing financial class, and the class suggested that I set up a digital budget where I can allocate some money to specific accounts for specific events. In my Ban..."
